PropertyID,CountyName,DwellingTypeDescr,Year_of_Construction,TypeofRating,EnergyRating,BerRating,TotalFloorArea,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,WallArea,RoofArea,FloorArea,WindowArea,DoorArea,NoStoreys,CO2Rating,MainSpaceHeatingFuel,MainWaterHeatingFuel,HSMainSystemEfficiency,MultiDwellingMPRN,HSSupplSystemEff,WHMainSystemEff,GroundFloorUValue,SolarHotWaterHeating,InsulationType,InsulationThickness,GroundFloorArea,GroundFloorHeight,FirstFloorArea,FirstFloorHeight,SecondFloorArea,SecondFloorHeight,ThirdFloorArea,ThirdFloorHeight,RoomInRoofArea,PurposeOfRating,DateOfAssessment
1058972,Leitrim,Detached house,2005,Existing   ,C1,157.16,130.84,0.4,0.26,0.37,2.2,2.9,156.31,65.42,65.42,15.3,3.6,2,39.34,Heating Oil ,Heating Oil ,79,NO,60,79,0,,,,65.42,2.51,65.42,2.75,0,0,0,0,0,Sale,04/09/2020
1062607,Leitrim,Detached house,1998,Existing   ,C1,157.66,170.68,0.3,0.15,0.44,2.8,3,169.04,103.61,103.61,33.26,4.94,2,39.11,Heating Oil ,Heating Oil ,85,NO,60,85,0,,,,103.61,2.5,67.07,2.68,0,0,0,0,0,Grant Support,04/11/2020
1106042,Leitrim,Semi-detached house,2006,Existing   ,C1,167.49,111.11,0.37,0.26,0.34,2.2,3,93.01,56.03,56.03,15.83,2.13,2,42.48,Heating Oil ,Heating Oil ,85,NO,30,85,0,,,,56.03,2.45,55.08,2.7,0,0,0,0,0,Sale,04/08/2022
1108142,Leitrim,Detached house,2004,Existing   ,C1,156.41,197.77,0.52,0.34,0.48,2.29,2.73,205.44,87.2,88.66,19.1,5.32,3,39.64,Heating Oil ,Heating Oil ,90,NO,60,90,0,,,,63.75,2.69,87.61,2.75,46.41,2.48,0,0,0,Sale,04/09/2022
1145070,Leitrim,Detached house,2006,Existing   ,C1,165.78,185.26,0.24,0.15,0.31,2,2.86,137.77,187.6,185.26,30.35,3.84,1,38.37,Bulk LPG (propane or butane),Bulk LPG (propane or butane),90.3,NO,30,90.3,0,,,,185.26,2.55,0,0,0,0,0,0,0,Grant Support,04/10/2023
1082856,Leitrim,Semi-detached house,1978,Existing   ,C2,198.4,140.62,0.77,0.22,0.48,2.94,3,117.15,107.8,107.8,29.73,6.8,2,48,Heating Oil ,Heating Oil ,93,NO,55,93,0,,,,107.8,2.49,32.82,2.58,0,0,0,0,0,Grant Support,04/10/2021
1087672,Leitrim,Detached house,2007,Existing   ,C2,187.3,139.25,0.37,0.21,0.34,2.2,2.81,120.12,141.8,139.25,23.88,8.76,1,46.12,Heating Oil ,Heating Oil ,85.7,NO,65,85.7,0,,,,139.25,2.57,0,0,0,0,0,0,0,Grant Support,04/12/2021
1049083,Leitrim,Detached house,1988,Existing   ,C3,213.51,122.79,0.35,0.26,0.57,2.7,3,96,118,122.79,33.77,1.85,1,49.82,Heating Oil ,Electricity,82.9,NO,60,100,0,,,,122.79,2.6,0,0,0,0,0,0,0,Grant Support,04/03/2020
1082823,Leitrim,Detached house,1950,Existing   ,C3,216.2,57.56,0.26,0.13,0.94,2.7,3,68.84,57.56,57.56,6.51,3.71,1,53.76,Heating Oil ,Heating Oil ,95,NO,60,95,0,,,,57.56,2.44,0,0,0,0,0,0,0,Grant Support,04/10/2021
1090776,Leitrim,Detached house,1993,Existing   ,C3,215.15,213.56,0.6,0.49,0.64,3.1,4.14,139.77,205.29,117.07,32.13,3.81,2,56,Heating Oil ,Heating Oil ,97,NO,30,97,0,,,,117.07,2.51,0,0,0,0,0,0,96.49,Sale,04/02/2022
1092800,Leitrim,Detached house,1996,Existing   ,C3,222.32,129.83,0.54,0.35,0.44,3.52,3.24,143.42,83.66,80.96,20.42,2.05,2,54.9,Heating Oil ,Heating Oil ,70,NO,55,70,0,,,,80.96,2.56,48.87,2.48,0,0,0,0,0,Sale,04/03/2022
1160299,Leitrim,Semi-detached house,1997,Existing   ,C3,211.13,47.27,0.34,0.13,0.44,3.1,3.03,39,47.27,47.27,7.85,4.45,1,48.93,Heating Oil ,Heating Oil ,94.8,NO,45,94.8,0,,,,47.27,2.37,0,0,0,0,0,0,0,Grant Support,04/04/2023
1065001,Leitrim,Semi-detached house,1978,Existing   ,D2,271.24,28,0.37,0.2,0.7,2.8,3,30.28,28,28,7.22,1.85,1,63.25,Heating Oil ,Heating Oil ,91.2,NO,100,91.2,0,,,,28,2.47,0,0,0,0,0,0,0,Other,04/12/2020
1072388,Leitrim,Detached house,1920,Existing   ,D2,267.4,142.85,1.06,0.27,0.61,2.89,3.4,127.76,142.85,142.85,24.45,2.8,1,67.12,Heating Oil ,Heating Oil ,85,NO,65,85,0,,,,142.85,2.49,0,0,0,0,0,0,0,Sale,04/05/2021
1149661,Leitrim,House,1979,Existing   ,D2,274.31,146.06,1.1,0.26,0.57,1.85,3,118.54,146.06,146.06,16.71,5.49,1,61.33,Heating Oil ,Heating Oil ,85,NO,60,85,0,NO ,Factory Insulated ,50,146.06,2.66,0,0,0,0,0,0,0,Unknown,04/03/2010
1062741,Leitrim,Detached house,1850,Existing   ,E1,331.47,111.64,1.42,0.83,0.78,3.1,2.58,109.07,70.88,69.72,9.38,5.55,2,80.88,Heating Oil ,Heating Oil ,85,NO,80,85,0,,,,69.72,2.23,41.92,2.48,0,0,0,0,0,Private Letting,04/11/2020
1064980,Leitrim,Detached house,2005,Existing   ,E2,355.06,57,0.35,0.26,0.37,2.8,3,63,57,57,7.11,3.7,1,92.23,Heating Oil ,Heating Oil ,60,NO,30,60,0,,,,57,2.39,0,0,0,0,0,0,0,Other,04/12/2020
1064981,Leitrim,Detached house,2005,Existing   ,E2,373.17,57,0.35,0.26,0.37,2.8,3,63,57,57,7.11,3.7,1,97.02,Heating Oil ,Heating Oil ,60,NO,30,60,0,,,,57,2.39,0,0,0,0,0,0,0,Other,04/12/2020
1065028,Leitrim,Semi-detached house,1978,Existing   ,E2,373.81,28,0.37,0.16,0.7,2.8,3,30,28,28,7.24,1.85,1,103.52,House Coal,House Coal,65,NO,100,65,0,,,,28,2.47,0,0,0,0,0,0,0,Other,04/12/2020
1136898,Leitrim,Detached house,1942,Existing   ,E2,372.74,88.34,0.4,2.3,0.9,3.1,2.97,100.41,88.34,88.34,9.84,3.7,1,91.44,Heating Oil ,Heating Oil ,85,NO,60,85,0,,,,88.34,2.72,0,0,0,0,0,0,0,Other,04/07/2023
